0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:15:05 -0300] "GET /ps-procesador HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:15:08 -0300] "GET /ps-procesador/ HTTP/1.1" 404 237
127.0.0.1 - - [11/Jan/2022:10:40:47 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [11/Jan/2022:10:40:47 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [11/Jan/2022:10:40:47 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [11/Jan/2022:10:40:47 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [11/Jan/2022:16:04:12 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
