127.0.0.1 - - [17/Jan/2022:08:56:31 -0300] "GET /auth-fielcorresponsal/session/eyJhbGciOiJIUzUxMiJ9.eyJBR0VOQ1lfSUQiOjMwMywiUE9PX05VTUJFUiI6MSwiUk9MRVMiOlsiU1VQRVJVU0VSIiwiQURNSU5fQUdFTkNJQSIsIlRBUkpFVEFTIiwiQ1JFRElUT1MiLCJGSUVMQ09CUkFOWkFTIiwiV0VTVEVSTl9VTklPTiIsIldVX0VOVklPUyIsIldVX1BBR09TIiwiR0lSSVNJTU9fRU5WSU8iLCJHSVJJU0lNT19QQUdPIiwiR0lSSVNJTU9fREVWT0xVQ0lPTiIsIkFHRU5DSUFfV1VfUkVQT1JURVMiLCJSRU5ESUNJT04iXSwiQUdFTkNZX05BTUUiOiJURUtUT04gU0EiLCJVU0VSX0lEIjo2MDksIlVTRVJfTkFNRSI6ImpiZW5pdGV6IiwiREVWSUNFX0lEIjozOTM2MCwianRpIjoiM2M1MGQ2OTQtNDcwYy00OTVhLWIzYjAtMzJlZTM0MzRmNjI2IiwiVVNFUl9GVUxMTkFNRSI6IkpVTElPIEJFTklURVoifQ.4ZEq9Z1xVLJFQjnV6FiaBcstbiO6w8SuWZxQdE18m0_IIykETDpBkPlOTUeAhIMkaydlJ6oo4n1D06zEoERglw HTTP/1.1" 400 120
127.0.0.1 - - [17/Jan/2022:09:06:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [17/Jan/2022:09:06:01 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [17/Jan/2022:09:06:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [17/Jan/2022:09:06:01 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [17/Jan/2022:09:06:01 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [17/Jan/2022:09:06:02 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [17/Jan/2022:09:06:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [17/Jan/2022:09:06:03 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [17/Jan/2022:15:29:07 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
