127.0.0.1 - - [19/Jan/2022:08:49:14 -0300] "GET /auth-fielcorresponsal/session/eyJhbGciOiJIUzUxMiJ9.eyJBR0VOQ1lfSUQiOjMwMywiUE9PX05VTUJFUiI6MSwiUk9MRVMiOlsiU1VQRVJWSVNPUiIsIkNBSkVSTyIsIlRBUkpFVEFTIiwiQ1JFRElUT1MiLCJERVBPU0lUTyIsIkVYVFJBQ0NJT05FUyIsIkZJRUxDT0JSQU5aQVMiLCJXRVNURVJOX1VOSU9OIiwiV1VfRU5WSU9TIiwiV1VfUEFHT1MiLCJHSVJJU0lNT19FTlZJTyIsIkdJUklTSU1PX1BBR08iLCJHSVJJU0lNT19ERVZPTFVDSU9OIiwiUkVORElDSU9OIl0sIkFHRU5DWV9OQU1FIjoiVEVLVE9OIFNBIiwiVVNFUl9JRCI6MzU1NiwiVVNFUl9OQU1FIjoidm1haWRhbmEiLCJERVZJQ0VfSUQiOjM5MzYwLCJqdGkiOiIzOThkYjIzYy01NmMxLTQ0ZmItYjJmMC0xNjBiM2RlZjgxZGUiLCJVU0VSX0ZVTExOQU1FIjoiVklDVE9SIE1BTlVFTCBNQUlEQU5BIENBQlJFUkEifQ.Yw7ZrXSlr2wgE-Ak-WV54z5omqk8iOFYBZwwHKOGXtRHdsB3ab5XKMvjaQk4tVGJt4qwqJKrKCRGxbhPnzfqDQ HTTP/1.1" 500 112
127.0.0.1 - - [19/Jan/2022:08:55:13 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:08:55:13 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [19/Jan/2022:08:55:13 -0300] "GET /manager/text/list HTTP/1.1" 200 1589
127.0.0.1 - tomcat [19/Jan/2022:08:55:13 -0300] "GET /manager/text/list HTTP/1.1" 200 1589
127.0.0.1 - - [19/Jan/2022:08:55:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:08:55:15 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:08:55:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:08:55:15 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:08:55:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [19/Jan/2022:08:55:15 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [19/Jan/2022:08:58:58 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
