0:0:0:0:0:0:0:1 - - [26/Jan/2022:08:15:13 -0300] "GET /fielco-cnb/ HTTP/1.1" 404 -
127.0.0.1 - - [26/Jan/2022:08:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:08:52:38 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:08:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:08:52:38 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:08:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:08:52:38 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:08:52:38 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - tomcat [26/Jan/2022:08:52:49 -0300] "GET /manager/text/reload?path=/fielcorresponsal HTTP/1.1" 200 84
127.0.0.1 - - [26/Jan/2022:08:52:49 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:08:52:49 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:00:36 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:00:36 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:01:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:01:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:01:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:01:45 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - - [26/Jan/2022:09:01:45 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:45 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:01:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:46 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - - [26/Jan/2022:09:01:46 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:46 -0300] "GET /manager/text/ HTTP/1.1" 200 42
127.0.0.1 - tomcat [26/Jan/2022:09:01:46 -0300] "GET /manager/text/list HTTP/1.1" 200 856
127.0.0.1 - tomcat [26/Jan/2022:09:01:55 -0300] "GET /manager/text/reload?path=/fielcorresponsal HTTP/1.1" 200 84
127.0.0.1 - - [26/Jan/2022:09:01:55 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - tomcat [26/Jan/2022:09:01:55 -0300] "GET /manager/text/ HTTP/1.1" 200 42
